Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2021,"Georgia Judicial Retirement System","Georgia",8.18%,9.57%,21.28%,−3.52%,17.75%
2022,"Georgia Judicial Retirement System","Georgia",8.78%,16.00%,23.17%,1.61%,24.78%
2023,"Georgia Judicial Retirement System","Georgia",9.12%,8.03%,21.09%,−3.94%,17.15%
2014,"Georgia Teachers Retirement System","Georgia",6.41%,12.72%,13.75%,5.37%,19.12%
2015,"Georgia Teachers Retirement System","Georgia",6.40%,13.59%,13.40%,6.59%,19.99%
2016,"Georgia Teachers Retirement System","Georgia",6.36%,14.66%,13.32%,7.70%,21.02%
2017,"Georgia Teachers Retirement System","Georgia",6.18%,14.27%,12.19%,8.26%,20.45%
2018,"Georgia Teachers Retirement System","Georgia",6.21%,16.81%,12.36%,10.66%,23.02%
2019,"Georgia Teachers Retirement System","Georgia",6.18%,20.90%,12.51%,14.57%,27.08%
2020,"Georgia Teachers Retirement System","Georgia",6.18%,21.14%,12.33%,14.99%,27.32%
2021,"Georgia Teachers Retirement System","Georgia",6.24%,19.06%,13.24%,12.06%,25.30%
2022,"Georgia Teachers Retirement System","Georgia",6.27%,19.81%,12.80%,13.28%,26.08%
2023,"Georgia Teachers Retirement System","Georgia",6.22%,19.98%,13.41%,12.78%,26.20%
2014,"Greenville City Fire Department's Pension Plan","South Carolina",6.10%,18.63%,8.43%,16.31%,24.73%
2015,"Greenville City Fire Department's Pension Plan","South Carolina",6.05%,18.73%,5.83%,18.95%,24.78%
2016,"Greenville City Fire Department's Pension Plan","South Carolina",5.75%,18.40%,8.46%,15.69%,24.15%
2017,"Greenville City Fire Department's Pension Plan","South Carolina",6.98%,22.10%,8.84%,20.24%,29.08%
2018,"Greenville City Fire Department's Pension Plan","South Carolina",6.80%,21.76%,5.42%,23.13%,28.56%
2019,"Greenville City Fire Department's Pension Plan","South Carolina",7.30%,23.26%,5.15%,25.42%,30.57%
2020,"Greenville City Fire Department's Pension Plan","South Carolina",7.32%,23.82%,4.99%,26.15%,31.14%
2021,"Greenville City Fire Department's Pension Plan","South Carolina",8.72%,28.18%,5.71%,31.19%,36.90%
2022,"Greenville City Fire Department's Pension Plan","South Carolina",7.72%,27.23%,4.52%,30.42%,34.95%
2023,"Greenville City Fire Department's Pension Plan","South Carolina",15.18%,22.22%,4.64%,32.76%,37.40%
2014,"Hartford Municipal Employees' Retirement Fund","Connecticut",8.39%,29.83%,16.52%,21.70%,38.22%
2015,"Hartford Municipal Employees' Retirement Fund","Connecticut",9.04%,29.88%,16.48%,22.44%,38.92%
2016,"Hartford Municipal Employees' Retirement Fund","Connecticut",8.62%,29.01%,15.33%,22.30%,37.63%
2017,"Hartford Municipal Employees' Retirement Fund","Connecticut",8.87%,24.19%,14.49%,18.58%,33.06%
2018,"Hartford Municipal Employees' Retirement Fund","Connecticut",10.18%,31.60%,14.92%,26.86%,41.78%
2019,"Hartford Municipal Employees' Retirement Fund","Connecticut",9.61%,30.64%,14.34%,25.91%,40.25%
2020,"Hartford Municipal Employees' Retirement Fund","Connecticut",9.24%,31.55%,15.07%,25.72%,40.79%
2021,"Hartford Municipal Employees' Retirement Fund","Connecticut",9.51%,34.63%,15.01%,29.13%,44.13%
2022,"Hartford Municipal Employees' Retirement Fund","Connecticut",10.20%,37.50%,15.46%,32.25%,47.70%
2014,"Houston Firefighters' Relief and Retirement Fund","Texas",8.94%,23.97%,26.95%,5.96%,32.91%
2015,"Houston Firefighters' Relief and Retirement Fund","Texas",9.03%,33.34%,24.54%,17.84%,42.38%
2016,"Houston Firefighters' Relief and Retirement Fund","Texas",9.10%,33.62%,27.25%,15.47%,42.72%
2017,"Houston Firefighters' Relief and Retirement Fund","Texas",8.76%,32.30%,27.59%,13.47%,41.06%
2018,"Houston Firefighters' Relief and Retirement Fund","Texas",13.68%,31.89%,20.20%,25.38%,45.57%
2019,"Houston Firefighters' Relief and Retirement Fund","Texas",12.58%,32.99%,20.38%,25.19%,45.57%
2020,"Houston Firefighters' Relief and Retirement Fund","Texas",12.90%,32.34%,22.27%,22.97%,45.24%
2021,"Houston Firefighters' Relief and Retirement Fund","Texas",12.29%,31.89%,22.87%,21.30%,44.18%
2022,"Houston Firefighters' Relief and Retirement Fund","Texas",12.13%,31.89%,21.22%,22.80%,44.02%
2023,"Houston Firefighters' Relief and Retirement Fund","Texas",11.88%,26.93%,20.80%,18.02%,38.82%
2014,"Houston Municipal Employees Retirement Fund","Texas",2.91%,22.54%,10.81%,14.65%,25.46%
2015,"Houston Municipal Employees Retirement Fund","Texas",2.60%,23.23%,9.53%,16.30%,25.83%
2016,"Houston Municipal Employees Retirement Fund","Texas",2.48%,24.97%,10.77%,16.68%,27.45%
2017,"Houston Municipal Employees Retirement Fund","Texas",2.63%,30.18%,12.56%,20.25%,32.81%
2018,"Houston Municipal Employees Retirement Fund","Texas",4.56%,68.94%,12.78%,60.72%,73.50%
2019,"Houston Municipal Employees Retirement Fund","Texas",5.30%,28.69%,12.66%,21.32%,33.98%
2020,"Houston Municipal Employees Retirement Fund","Texas",5.21%,28.23%,12.45%,20.99%,33.44%
2021,"Houston Municipal Employees Retirement Fund","Texas",5.18%,28.74%,12.22%,21.70%,33.92%
2022,"Houston Municipal Employees Retirement Fund","Texas",4.81%,29.09%,12.10%,21.81%,33.91%
2023,"Houston Municipal Employees Retirement Fund","Texas",4.87%,28.84%,11.99%,21.72%,33.71%
2014,"Houston Police Officers' Pension System","Texas",9.27%,25.88%,13.23%,21.92%,35.14%
2015,"Houston Police Officers' Pension System","Texas",9.54%,28.75%,14.18%,24.11%,38.29%
2016,"Houston Police Officers' Pension System","Texas",9.59%,33.75%,16.24%,27.10%,43.34%
2017,"Houston Police Officers' Pension System","Texas",9.45%,31.54%,14.36%,26.63%,40.99%
2019,"Houston Police Officers' Pension System","Texas",10.54%,32.02%,15.00%,27.55%,42.56%
2020,"Houston Police Officers' Pension System","Texas",10.57%,32.11%,15.09%,27.58%,42.67%
2021,"Houston Police Officers' Pension System","Texas",10.52%,31.94%,15.44%,27.02%,42.45%
2022,"Houston Police Officers' Pension System","Texas",10.50%,31.98%,15.60%,26.88%,42.48%
2023,"Houston Police Officers' Pension System","Texas",10.50%,32.04%,15.70%,26.84%,42.54%
2014,"Idaho Public Employee Retirement System","Idaho",7.54%,11.51%,13.94%,5.11%,19.05%
2015,"Idaho Public Employee Retirement System","Idaho",7.58%,11.51%,13.77%,5.31%,19.09%
2016,"Idaho Public Employee Retirement System","Idaho",7.63%,11.59%,13.72%,5.50%,19.22%
2017,"Idaho Public Employee Retirement System","Idaho",7.67%,11.38%,13.17%,5.88%,19.05%
2018,"Idaho Public Employee Retirement System","Idaho",7.62%,11.38%,13.66%,5.34%,19.00%
2019,"Idaho Public Employee Retirement System","Idaho",7.60%,11.37%,13.65%,5.32%,18.97%
2020,"Idaho Public Employee Retirement System","Idaho",7.92%,12.14%,13.68%,6.39%,20.06%
2021,"Idaho Public Employee Retirement System","Idaho",7.91%,12.13%,13.81%,6.24%,20.05%
2022,"Idaho Public Employee Retirement System","Idaho",8.03%,12.13%,15.20%,4.96%,20.16%
2023,"Idaho Public Employee Retirement System","Idaho",7.93%,12.14%,15.06%,5.01%,20.06%
2014,"Illinois General Assembly Retirement System","Illinois",11.76%,109.23%,42.13%,78.86%,120.99%
2015,"Illinois General Assembly Retirement System","Illinois",12.81%,136.71%,51.31%,98.21%,149.52%
2014,"Illinois Judges Retirement System","Illinois",10.59%,84.39%,38.02%,56.96%,94.98%
2015,"Illinois Judges Retirement System","Illinois",10.58%,91.87%,40.86%,61.58%,102.45%
2016,"Illinois Judges Retirement System","Illinois",10.72%,94.64%,41.60%,63.77%,105.36%
2017,"Illinois Judges Retirement System","Illinois",10.57%,93.99%,40.19%,64.36%,104.56%
2018,"Illinois Judges Retirement System","Illinois",10.82%,102.95%,40.30%,73.48%,113.78%
2019,"Illinois Judges Retirement System","Illinois",10.59%,101.48%,36.13%,75.95%,112.08%
2020,"Illinois Judges Retirement System","Illinois",10.72%,106.48%,36.16%,81.03%,117.19%
2021,"Illinois Judges Retirement System","Illinois",10.62%,108.15%,34.98%,83.79%,118.78%
2022,"Illinois Judges Retirement System","Illinois",10.89%,116.56%,34.81%,92.64%,127.45%
2023,"Illinois Judges Retirement System","Illinois",10.75%,105.59%,30.20%,86.14%,116.34%
2014,"Illinois Municipal Employees Retirement System","Illinois",5.21%,13.72%,11.34%,7.59%,18.93%
2015,"Illinois Municipal Employees Retirement System","Illinois",5.32%,13.01%,11.21%,7.12%,18.33%
2016,"Illinois Municipal Employees Retirement System","Illinois",5.43%,13.31%,11.11%,7.63%,18.74%
2017,"Illinois Municipal Employees Retirement System","Illinois",5.52%,12.66%,10.11%,8.07%,18.18%
2018,"Illinois Municipal Employees Retirement System","Illinois",5.65%,12.93%,10.48%,8.10%,18.58%
2019,"Illinois Municipal Employees Retirement System","Illinois",5.80%,10.32%,10.36%,5.76%,16.12%
2020,"Illinois Municipal Employees Retirement System","Illinois",5.94%,12.24%,9.72%,8.46%,18.18%
2021,"Illinois Municipal Employees Retirement System","Illinois",6.04%,12.39%,9.59%,8.84%,18.43%
2022,"Illinois Municipal Employees Retirement System","Illinois",6.04%,9.72%,9.46%,6.30%,15.76%
2023,"Illinois Municipal Employees Retirement System","Illinois",6.04%,7.29%,9.46%,3.86%,13.32%
2014,"Illinois State Employees Retirement System","Illinois",6.10%,38.48%,17.58%,27.00%,44.58%
2015,"Illinois State Employees Retirement System","Illinois",5.98%,40.51%,19.04%,27.45%,46.49%
2016,"Illinois State Employees Retirement System","Illinois",5.98%,43.93%,19.68%,30.23%,49.91%
2017,"Illinois State Employees Retirement System","Illinois",6.00%,42.89%,21.30%,27.59%,48.89%
2018,"Illinois State Employees Retirement System","Illinois",6.00%,45.50%,19.54%,31.96%,51.50%
2019,"Illinois State Employees Retirement System","Illinois",5.96%,49.38%,17.34%,38.00%,55.34%
2020,"Illinois State Employees Retirement System","Illinois",6.02%,52.44%,18.12%,40.33%,58.45%
2021,"Illinois State Employees Retirement System","Illinois",5.97%,52.75%,17.98%,40.74%,58.72%
2022,"Illinois State Employees Retirement System","Illinois",6.01%,55.45%,18.53%,42.93%,61.46%
2023,"Illinois State Employees Retirement System","Illinois",5.91%,53.03%,15.24%,43.70%,58.94%
2014,"Illinois State University Retirement System","Illinois",8.04%,42.67%,19.17%,31.53%,50.70%
2015,"Illinois State University Retirement System","Illinois",7.42%,42.38%,18.16%,31.64%,49.80%
2016,"Illinois State University Retirement System","Illinois",7.94%,45.04%,18.97%,34.01%,52.98%
2017,"Illinois State University Retirement System","Illinois",8.06%,47.73%,19.05%,36.74%,55.78%
2018,"Illinois State University Retirement System","Illinois",8.15%,46.33%,18.11%,36.37%,54.48%
2019,"Illinois State University Retirement System","Illinois",7.99%,46.83%,18.01%,36.80%,54.81%
2020,"Illinois State University Retirement System","Illinois",7.75%,50.48%,17.42%,40.81%,58.23%
2021,"Illinois State University Retirement System","Illinois",7.93%,54.39%,18.06%,44.26%,62.32%
2022,"Illinois State University Retirement System","Illinois",8.00%,59.12%,20.02%,47.09%,67.12%
2023,"Illinois State University Retirement System","Illinois",8.00%,57.11%,18.09%,47.02%,65.11%
2014,"Illinois Teachers Retirement System","Illinois",9.76%,37.81%,19.91%,27.66%,47.57%
2015,"Illinois Teachers Retirement System","Illinois",9.70%,36.54%,20.21%,26.04%,46.25%
2016,"Illinois Teachers Retirement System","Illinois",9.70%,39.65%,17.14%,32.22%,49.35%
2017,"Illinois Teachers Retirement System","Illinois",9.32%,41.50%,18.84%,31.98%,50.82%
2018,"Illinois Teachers Retirement System","Illinois",9.23%,41.12%,18.08%,32.27%,50.35%
2019,"Illinois Teachers Retirement System","Illinois",9.22%,43.58%,18.64%,34.17%,52.81%
2020,"Illinois Teachers Retirement System","Illinois",9.18%,45.31%,18.39%,36.10%,54.50%
2021,"Illinois Teachers Retirement System","Illinois",9.20%,47.10%,18.27%,38.03%,56.31%
2022,"Illinois Teachers Retirement System","Illinois",9.21%,51.41%,18.01%,42.61%,60.62%
2023,"Illinois Teachers Retirement System","Illinois",8.96%,49.54%,18.00%,40.50%,58.50%
2014,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.88%,19.72%,18.73%,6.87%,25.60%
2015,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.84%,19.68%,18.54%,6.98%,25.52%
2016,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.82%,19.65%,16.76%,8.71%,25.47%
2017,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",6.37%,18.64%,16.62%,8.39%,25.00%
2018,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.80%,17.47%,16.22%,7.04%,23.26%
2019,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",6.10%,17.90%,17.35%,6.65%,23.99%
2020,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.76%,17.26%,17.28%,5.74%,23.02%
2021,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.86%,17.50%,19.80%,3.55%,23.35%
2022,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.78%,17.38%,20.67%,2.50%,23.16%
2023,"Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund","Indiana",5.87%,18.00%,20.86%,3.01%,23.87%
2014,"Indiana Judges Retirement System","Indiana",6.20%,45.38%,33.23%,18.35%,51.59%
2015,"Indiana Judges Retirement System","Indiana",6.78%,43.27%,31.46%,18.59%,50.04%
2016,"Indiana Judges Retirement System","Indiana",6.30%,32.98%,26.99%,12.29%,39.28%
2017,"Indiana Judges Retirement System","Indiana",6.33%,30.73%,26.96%,10.10%,37.06%
2018,"Indiana Judges Retirement System","Indiana",6.41%,28.34%,27.90%,6.84%,34.74%
2019,"Indiana Judges Retirement System","Indiana",6.16%,28.43%,32.33%,2.26%,34.60%
2020,"Indiana Judges Retirement System","Indiana",6.10%,31.22%,33.63%,3.69%,37.32%
2021,"Indiana Judges Retirement System","Indiana",6.60%,30.42%,29.35%,7.66%,37.02%
2022,"Indiana Judges Retirement System","Indiana",7.11%,26.96%,31.98%,2.08%,34.06%
2023,"Indiana Judges Retirement System","Indiana",6.11%,26.75%,32.49%,0.37%,32.86%
2014,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.47%,5.70%,7.70%,4.47%,12.17%
2015,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,5.03%,7.58%,3.45%,11.03%
2016,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,6.74%,7.61%,5.13%,12.74%
2017,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,6.56%,7.29%,5.27%,12.56%
2018,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,13.97%,9.02%,10.94%,19.97%
2019,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,14.76%,9.32%,11.43%,20.76%
2020,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,17.64%,8.62%,15.03%,23.64%
2021,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,18.10%,8.90%,15.20%,24.10%
2022,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,16.45%,8.94%,13.52%,22.45%
2023,"Indiana Prosecuting Attorney’s Retirement Fund","Indiana",6.00%,16.29%,8.40%,13.88%,22.29%
2014,"Indiana Public Employees Retirement Fund","Indiana",3.35%,10.74%,5.27%,8.83%,14.10%
2015,"Indiana Public Employees Retirement Fund","Indiana",3.53%,11.20%,5.70%,9.03%,14.73%
2016,"Indiana Public Employees Retirement Fund","Indiana",3.34%,12.69%,3.94%,12.09%,16.02%
2017,"Indiana Public Employees Retirement Fund","Indiana",3.36%,11.18%,3.88%,10.66%,14.55%
2018,"Indiana Public Employees Retirement Fund","Indiana",0.01%,11.24%,3.98%,7.27%,11.25%
2019,"Indiana Public Employees Retirement Fund","Indiana",0.01%,11.18%,3.75%,7.43%,11.18%
2020,"Indiana Public Employees Retirement Fund","Indiana",0.00%,11.13%,3.74%,7.40%,11.14%
2021,"Indiana Public Employees Retirement Fund","Indiana",0.00%,11.44%,3.76%,7.68%,11.45%
2022,"Indiana Public Employees Retirement Fund","Indiana",0.01%,11.09%,4.19%,6.91%,11.10%
2023,"Indiana Public Employees Retirement Fund","Indiana",0.00%,11.10%,4.00%,7.10%,11.11%
2014,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",3.95%,20.75%,14.87%,9.82%,24.70%
2015,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",3.99%,20.75%,15.54%,9.21%,24.74%
2016,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",3.98%,21.02%,11.80%,13.21%,25.00%
2017,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.05%,20.75%,12.94%,11.86%,24.80%
2018,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",3.99%,21.01%,11.47%,13.54%,25.01%
2019,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.26%,20.98%,10.67%,14.57%,25.24%
2020,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.00%,20.75%,12.26%,12.49%,24.75%
2021,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.02%,21.34%,12.20%,13.15%,25.35%
2022,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.18%,20.75%,14.31%,10.62%,24.93%
2023,"Indiana State Excise Police, Gaming Agent, Gaming Control Officer and Conservation Enforcement Officers Retirement Plan","Indiana",4.33%,20.74%,13.11%,11.96%,25.07%
2014,"Indiana State Teachers' Retirement Fund","Indiana",3.02%,24.08%,5.54%,21.56%,27.11%
2015,"Indiana State Teachers' Retirement Fund","Indiana",3.36%,27.70%,5.01%,26.04%,31.06%
2016,"Indiana State Teachers' Retirement Fund","Indiana",3.10%,28.63%,5.07%,26.66%,31.73%
2017,"Indiana State Teachers' Retirement Fund","Indiana",3.09%,28.04%,5.62%,25.51%,31.13%
2018,"Indiana State Teachers' Retirement Fund","Indiana",1.52%,29.29%,5.00%,25.80%,30.80%
2019,"Indiana State Teachers' Retirement Fund","Indiana",0.00%,33.42%,4.99%,28.43%,33.42%
2020,"Indiana State Teachers' Retirement Fund","Indiana",0.00%,27.94%,5.02%,22.92%,27.94%
2021,"Indiana State Teachers' Retirement Fund","Indiana",0.01%,44.07%,5.70%,38.39%,44.08%
2022,"Indiana State Teachers' Retirement Fund","Indiana",0.01%,39.26%,5.69%,33.58%,39.27%
2023,"Indiana State Teachers' Retirement Fund","Indiana",0.01%,94.94%,5.69%,89.26%,94.95%
2014,"Iowa Municipal Fire and Police Retirement System","Iowa",9.42%,30.12%,18.80%,20.74%,39.54%
2015,"Iowa Municipal Fire and Police Retirement System","Iowa",9.39%,30.41%,19.03%,20.77%,39.80%
2016,"Iowa Municipal Fire and Police Retirement System","Iowa",9.39%,27.77%,18.96%,18.21%,37.16%
2017,"Iowa Municipal Fire and Police Retirement System","Iowa",9.40%,25.92%,18.86%,16.46%,35.32%
2018,"Iowa Municipal Fire and Police Retirement System","Iowa",9.46%,25.68%,19.31%,15.83%,35.14%
2019,"Iowa Municipal Fire and Police Retirement System","Iowa",9.41%,26.02%,17.51%,17.91%,35.43%
2020,"Iowa Municipal Fire and Police Retirement System","Iowa",9.38%,24.41%,17.35%,16.44%,33.79%
2021,"Iowa Municipal Fire and Police Retirement System","Iowa",9.41%,25.31%,17.48%,17.24%,34.72%
2022,"Iowa Municipal Fire and Police Retirement System","Iowa",9.37%,26.18%,17.41%,18.13%,35.55%
2023,"Iowa Municipal Fire and Police Retirement System","Iowa",9.42%,23.90%,16.92%,16.40%,33.32%
2014,"Iowa Public Employees' Retirement System","Iowa",6.25%,9.00%,10.01%,5.23%,15.25%
2015,"Iowa Public Employees' Retirement System","Iowa",6.26%,8.97%,10.59%,4.64%,15.23%
2016,"Iowa Public Employees' Retirement System","Iowa",6.51%,9.06%,10.61%,4.96%,15.57%
2017,"Iowa Public Employees' Retirement System","Iowa",6.07%,8.96%,10.46%,4.58%,15.04%
2018,"Iowa Public Employees' Retirement System","Iowa",6.09%,8.98%,10.81%,4.26%,15.07%
2019,"Iowa Public Employees' Retirement System","Iowa",6.41%,9.47%,10.83%,5.05%,15.88%
2020,"Iowa Public Employees' Retirement System","Iowa",6.39%,9.44%,10.80%,5.02%,15.82%
2021,"Iowa Public Employees' Retirement System","Iowa",6.41%,9.45%,10.76%,5.10%,15.86%
2022,"Iowa Public Employees' Retirement System","Iowa",6.41%,9.46%,10.67%,5.20%,15.87%
2023,"Iowa Public Employees' Retirement System","Iowa",6.37%,9.40%,10.55%,5.21%,15.76%
2014,"Jacksonville General Employees Retirement Plan","Florida",7.99%,26.97%,15.29%,19.67%,34.96%
2015,"Jacksonville General Employees Retirement Plan","Florida",8.22%,32.18%,15.13%,25.28%,40.41%
2016,"Jacksonville General Employees Retirement Plan","Florida",8.54%,33.20%,15.64%,26.10%,41.74%
2017,"Jacksonville General Employees Retirement Plan","Florida",9.18%,37.75%,16.19%,30.74%,46.93%
2018,"Jacksonville General Employees Retirement Plan","Florida",11.60%,27.55%,15.48%,23.67%,39.15%
2019,"Jacksonville General Employees Retirement Plan","Florida",11.16%,27.69%,15.75%,23.10%,38.85%
2020,"Jacksonville General Employees Retirement Plan","Florida",10.52%,29.30%,16.21%,23.62%,39.83%
2021,"Jacksonville General Employees Retirement Plan","Florida",12.48%,33.12%,16.87%,28.74%,45.61%
2022,"Jacksonville General Employees Retirement Plan","Florida",11.97%,37.01%,17.48%,31.50%,48.98%
2014,"Jacksonville Police and Fire Pension Fund","Florida",8.61%,111.89%,35.62%,84.89%,120.50%
2015,"Jacksonville Police and Fire Pension Fund","Florida",9.09%,116.52%,35.15%,90.45%,125.61%
2016,"Jacksonville Police and Fire Pension Fund","Florida",9.46%,116.15%,32.51%,93.10%,125.61%
2017,"Jacksonville Police and Fire Pension Fund","Florida",9.08%,123.44%,30.27%,102.24%,132.52%
2018,"Jacksonville Police and Fire Pension Fund","Florida",10.27%,71.41%,37.13%,44.55%,81.68%
2019,"Jacksonville Police and Fire Pension Fund","Florida",10.19%,63.48%,37.41%,36.25%,73.67%
2020,"Jacksonville Police and Fire Pension Fund","Florida",10.93%,70.80%,40.25%,41.48%,81.73%
2021,"Jacksonville Police and Fire Pension Fund","Florida",11.81%,83.25%,44.15%,50.91%,95.06%
2022,"Jacksonville Police and Fire Pension Fund","Florida",11.22%,96.71%,44.09%,63.84%,107.93%
2023,"Jacksonville Police and Fire Pension Fund","Florida",11.22%,96.71%,44.09%,63.84%,107.93%
2014,"Jersey City Municipal Employees Pension Fund","New Jersey",7.26%,24.22%,7.52%,23.96%,31.48%
2015,"Jersey City Municipal Employees Pension Fund","New Jersey",7.53%,25.18%,7.25%,25.46%,32.72%
2016,"Jersey City Municipal Employees Pension Fund","New Jersey",7.41%,26.45%,7.36%,26.50%,33.86%
2017,"Jersey City Municipal Employees Pension Fund","New Jersey",8.11%,27.09%,7.36%,27.84%,35.20%
2018,"Jersey City Municipal Employees Pension Fund","New Jersey",7.32%,24.34%,7.44%,24.22%,31.66%
2019,"Jersey City Municipal Employees Pension Fund","New Jersey",6.99%,27.73%,7.96%,26.76%,34.73%
2020,"Jersey City Municipal Employees Pension Fund","New Jersey",7.35%,32.85%,9.23%,30.97%,40.20%
2021,"Jersey City Municipal Employees Pension Fund","New Jersey",6.77%,31.19%,8.81%,29.15%,37.95%
2022,"Jersey City Municipal Employees Pension Fund","New Jersey",7.12%,31.56%,9.00%,29.67%,38.68%
2014,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",4.85%,15.22%,15.73%,4.35%,20.08%
2015,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.00%,18.63%,16.64%,6.99%,23.63%
2016,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.00%,19.61%,17.98%,6.62%,24.61%
2017,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.00%,20.20%,18.35%,6.86%,25.20%
2018,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.00%,19.64%,15.39%,9.25%,24.64%
2019,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.22%,17.63%,15.09%,7.76%,22.85%
2020,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.01%,17.16%,14.41%,7.76%,22.17%
2021,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.25%,18.57%,14.46%,9.35%,23.81%
2022,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.16%,19.81%,14.50%,10.46%,24.96%
2023,"Kansas City (MO) Civilian Workers in Police Dept.","Missouri",5.00%,21.09%,14.73%,11.35%,26.09%
2014,"Kansas City Missouri Employees' Retirement System","Missouri",4.09%,15.50%,12.78%,6.81%,19.59%
2015,"Kansas City Missouri Employees' Retirement System","Missouri",4.71%,15.08%,10.77%,9.02%,19.79%
2016,"Kansas City Missouri Employees' Retirement System","Missouri",4.94%,14.73%,11.68%,7.99%,19.67%
2017,"Kansas City Missouri Employees' Retirement System","Missouri",4.85%,14.43%,12.21%,7.07%,19.28%
2018,"Kansas City Missouri Employees' Retirement System","Missouri",5.14%,14.62%,11.97%,7.79%,19.76%
2019,"Kansas City Missouri Employees' Retirement System","Missouri",4.96%,15.16%,11.83%,8.29%,20.12%
2020,"Kansas City Missouri Employees' Retirement System","Missouri",11.97%,38.13%,27.87%,22.23%,50.10%
2021,"Kansas City Missouri Employees' Retirement System","Missouri",4.98%,16.11%,11.47%,9.62%,21.09%
2022,"Kansas City Missouri Employees' Retirement System","Missouri",4.66%,18.54%,11.13%,12.06%,23.20%
2023,"Kansas City Missouri Employees' Retirement System","Missouri",5.58%,19.05%,11.09%,13.54%,24.63%
2014,"Kansas City Public School Retirement System","Missouri",7.82%,7.78%,9.02%,6.57%,15.60%
2015,"Kansas City Public School Retirement System","Missouri",8.59%,8.50%,10.21%,6.88%,17.09%
2016,"Kansas City Public School Retirement System","Missouri",9.14%,9.00%,9.63%,8.51%,18.14%
2017,"Kansas City Public School Retirement System","Missouri",9.02%,9.00%,9.93%,8.09%,18.02%
2018,"Kansas City Public School Retirement System","Missouri",9.05%,9.00%,8.72%,9.33%,18.05%
2019,"Kansas City Public School Retirement System","Missouri",9.05%,10.50%,8.81%,10.74%,19.55%
2020,"Kansas City Public School Retirement System","Missouri",9.09%,12.00%,8.72%,12.38%,21.09%
2021,"Kansas City Public School Retirement System","Missouri",9.05%,12.00%,9.38%,11.66%,21.05%
2014,"Kansas City, Fire Retirement System.","Missouri",10.58%,24.45%,24.14%,10.89%,35.03%
2015,"Kansas City, Fire Retirement System.","Missouri",10.53%,27.37%,22.11%,15.79%,37.90%
2016,"Kansas City, Fire Retirement System.","Missouri",10.41%,28.05%,22.13%,16.33%,38.46%
2017,"Kansas City, Fire Retirement System.","Missouri",11.34%,29.08%,22.36%,18.05%,40.41%
2018,"Kansas City, Fire Retirement System.","Missouri",10.67%,27.04%,23.47%,14.24%,37.71%
